time,mass,unit,stable?
0.019741535186767578,0.0,,1
0.10098052024841309,15.6,g,0
1.1096725463867188,16.6,g,0
2.1173501014709473,17.9,g,0
3.110269069671631,18.9,g,0
4.103347301483154,20.2,g,0
5.112252712249756,21.5,g,0
6.105386972427368,22.7,g,0
7.114061594009399,23.8,g,0
8.10725450515747,25.0,g,0
9.11588168144226,26.1,g,0
10.10795545578003,27.3,g,0
11.116456508636475,28.5,g,0
12.109668731689453,29.6,g,0
13.118342876434326,30.7,g,0
14.111378908157349,31.9,g,0
15.1201913356781,33.1,g,0
16.113274097442627,34.3,g,0
17.122169733047485,35.3,g,0
18.115156173706055,36.6,g,0
19.108240127563477,37.6,g,0
20.117023468017578,38.8,g,0
21.110016107559204,40.0,g,0
22.11872410774231,41.1,g,0
23.111770629882812,42.3,g,0
24.120685577392578,43.2,g,0
25.11370539665222,44.5,g,0
26.122379541397095,45.7,g,0
27.11548924446106,46.9,g,0
28.123054027557373,48.0,g,0
29.11627960205078,49.0,g,0
30.125102043151855,50.1,g,0
31.118040800094604,51.4,g,0
32.126874923706055,52.6,g,0
33.119945764541626,53.6,g,0
34.12866401672363,54.6,g,0
35.12173295021057,55.8,g,0
36.114853620529175,57.0,g,0
37.1234872341156,58.2,g,0
38.116655588150024,59.3,g,0
39.12536597251892,60.2,g,0
40.11840343475342,61.5,g,0
41.127150774002075,62.6,g,0
42.12026619911194,63.8,g,0
43.12785506248474,64.8,g,0
44.12086796760559,65.8,g,0
45.12955355644226,67.1,g,0
46.122926235198975,68.2,g,0
47.131591796875,69.4,g,0
48.12470364570618,70.4,g,0
49.13339567184448,71.3,g,0
50.12669372558594,72.5,g,0
51.13525724411011,73.8,g,0
52.128432750701904,74.7,g,0
53.121416330337524,75.9,g,0
54.13026475906372,76.9,g,0
55.13915252685547,78.1,g,0
56.13206744194031,79.3,g,0
57.125126123428345,80.3,g,0
58.134026527404785,81.3,g,0
59.126978635787964,82.5,g,0
60.13447427749634,83.7,g,0
61.12765574455261,84.8,g,0
62.13636636734009,85.8,g,0
63.12932801246643,86.8,g,0
64.13815379142761,88.0,g,0
65.13129472732544,89.2,g,0
66.139976978302,90.1,g,0
67.13300466537476,91.3,g,0
68.12602829933167,92.3,g,0
69.1347599029541,93.5,g,0
70.14375042915344,94.6,g,0
71.13681626319885,95.7,g,0
72.12990021705627,96.6,g,0
73.13862371444702,97.8,g,0
74.13169384002686,99.0,g,0
75.13921785354614,100.0,g,0
76.13238215446472,101.1,g,0
77.14117527008057,102.1,g,0
78.13418626785278,103.3,g,0
79.14319705963135,104.4,g,0
80.13621425628662,105.4,g,0
81.1449089050293,106.4,g,0
82.13795876502991,107.6,g,0
83.14666056632996,108.8,g,0
84.13987684249878,109.7,g,0
85.14725089073181,110.7,g,0
86.14035940170288,111.8,g,0
87.13466548919678,112.9,g,0
88.14219093322754,114.1,g,0
89.13648653030396,115.1,g,0
90.14394092559814,116.1,g,0
91.13838958740234,117.2,g,0
92.14589190483093,118.4,g,0
93.13903498649597,119.4,g,0
94.14784026145935,120.3,g,0
95.14091753959656,121.5,g,0
96.14854216575623,122.6,g,0
97.14153480529785,123.6,g,0
98.15035390853882,124.7,g,0
99.14331483840942,125.7,g,0
100.15210843086243,126.9,g,0
101.14521646499634,127.9,g,0
102.15282249450684,129.0,g,0
103.14711213111877,129.9,g,0
104.1546983718872,131.1,g,0
105.14774584770203,132.2,g,0
106.1564793586731,133.2,g,0
107.14955496788025,134.1,g,0
108.15836930274963,135.3,g,0
109.15139746665955,136.4,g,0
110.16021370887756,137.4,g,0
111.15317845344543,138.4,g,0
112.14630270004272,139.5,g,0
113.1549460887909,140.7,g,0
114.14810705184937,141.6,g,0
115.15693998336792,142.5,g,0
116.14993071556091,143.7,g,0
117.15857648849487,144.8,g,0
118.15168237686157,145.8,g,0
119.15915703773499,146.8,g,0
120.15221667289734,147.9,g,0
121.14653849601746,149.0,g,0
122.1539945602417,150.0,g,0
123.14699578285217,151.1,g,0
124.15579676628113,152.1,g,0
125.14910626411438,153.2,g,0
126.15801930427551,154.2,g,0
127.16666650772095,155.3,g,0
128.15979599952698,156.3,g,0
129.15281534194946,157.4,g,0
130.16158366203308,158.4,g,0
131.1544783115387,159.5,g,0
132.1632697582245,160.4,g,0
133.15651679039001,161.5,g,0
134.16522693634033,162.6,g,0
135.158371925354,163.6,g,0
136.1657693386078,164.5,g,0
137.15875601768494,165.6,g,0
138.1676344871521,166.7,g,0
139.16056561470032,167.7,g,0
140.16937589645386,168.7,g,0
141.1624207496643,169.8,g,0
142.1554937362671,170.9,g,0
143.16437435150146,171.9,g,0
144.15734934806824,172.8,g,0
145.16620922088623,173.9,g,0
146.15919637680054,175.0,g,0
147.16815829277039,176.0,g,0
148.16123509407043,176.9,g,0
149.168603181839,178.0,g,0
150.16301155090332,179.2,g,0
151.170396566391,180.1,g,0
152.16342496871948,181.0,g,0
153.17226362228394,182.1,g,0
154.16543006896973,183.2,g,0
155.17427349090576,184.2,g,0
156.16738867759705,185.1,g,0
