time,mass,unit,stable?
0.790475606918335,0.0,g,1
1.7916069030761719,0.0,g,1
2.780858039855957,0.0,g,1
3.790086269378662,0.0,g,1
4.7893006801605225,0.0,g,1
5.788941144943237,0.0,g,1
6.810214281082153,0.0,g,1
7.788609981536865,0.0,g,1
8.78820514678955,0.0,g,1
9.803996562957764,0.0,g,1
10.802587032318115,0.0,g,1
11.805222034454346,0.0,g,1
12.784793853759766,0.0,g,1
13.801887035369873,0.0,g,1
14.78516435623169,0.0,g,1
15.80761456489563,0.0,g,1
16.800323247909546,0.0,g,1
17.798906326293945,0.6,g,0
18.801544666290283,0.6,g,1
19.799011945724487,0.7,g,1
20.80187153816223,1.0,g,1
21.79784846305847,1.4,g,0
22.800880193710327,1.8,g,0
23.812624216079712,2.3,g,0
24.80520486831665,2.8,g,0
25.81384778022766,3.6,g,0
26.8058500289917,4.2,g,0
27.806154489517212,5.0,g,0
28.797135829925537,6.0,g,0
29.810951948165894,6.9,g,0
30.793984174728394,7.8,g,0
31.79637861251831,8.9,g,0
32.79692840576172,10.2,g,0
33.79457998275757,11.4,g,0
34.8114447593689,12.6,g,0
35.79367446899414,13.9,g,0
36.8095543384552,15.1,g,0
37.80518364906311,16.4,g,0
38.80743455886841,17.8,g,0
39.805063009262085,19.2,g,0
40.813544273376465,20.6,g,0
41.794453620910645,21.9,g,0
42.80347657203674,23.3,g,0
43.80345320701599,24.4,g,0
44.81760764122009,25.8,g,0
45.80544686317444,26.9,g,0
46.816067695617676,28.3,g,0
47.800628900527954,29.6,g,0
48.81607675552368,31.0,g,0
49.80106568336487,32.3,g,0
50.8212206363678,33.7,g,0
51.81387710571289,35.0,g,0
52.81725025177002,36.1,g,0
53.801915884017944,37.5,g,0
54.8135142326355,38.6,g,0
55.81645083427429,39.9,g,0
56.811808586120605,41.2,g,0
57.81319570541382,42.5,g,0
58.812103509902954,43.8,g,0
59.81243824958801,45.0,g,0
60.79728174209595,46.3,g,0
61.81002855300903,47.4,g,0
62.81287932395935,48.7,g,0
63.808308839797974,50.0,g,0
64.82752799987793,51.3,g,0
65.80753087997437,52.6,g,0
66.81077361106873,53.7,g,0
67.8087830543518,54.8,g,0
68.81066274642944,56.1,g,0
69.82500982284546,57.3,g,0
70.82158946990967,58.6,g,0
71.82517290115356,59.9,g,0
72.80554795265198,61.0,g,0
73.82021427154541,62.3,g,0
74.81999182701111,63.3,g,0
75.81880474090576,64.6,g,0
76.81864476203918,65.9,g,0
77.81760430335999,67.2,g,0
78.82098460197449,68.3,g,0
79.8183217048645,69.5,g,0
80.81583285331726,70.6,g,0
81.83224368095398,71.9,g,0
82.81520581245422,73.1,g,0
83.81852078437805,74.4,g,0
84.81875371932983,75.4,g,0
85.83382296562195,76.7,g,0
86.81311321258545,77.8,g,0
87.83038401603699,79.0,g,0
88.82854771614075,80.3,g,0
89.8121771812439,81.6,g,0
90.82974553108215,82.6,g,0
91.81013584136963,83.7,g,0
92.8282310962677,84.9,g,0
93.81230401992798,86.2,g,0
94.82662725448608,87.4,g,0
95.84085392951965,88.5,g,0
96.82428097724915,89.7,g,0
97.81336402893066,90.8,g,0
98.82426428794861,92.0,g,0
99.82278537750244,93.3,g,0
100.82592630386353,94.5,g,0
101.82265853881836,95.6,g,0
102.83755445480347,96.7,g,0
103.8297872543335,97.8,g,0
104.82760310173035,99.1,g,0
105.82290363311768,100.3,g,0
106.83950877189636,101.4,g,0
107.818514585495,102.6,g,0
108.83623313903809,103.6,g,0
109.81855392456055,104.8,g,0
110.83340263366699,106.1,g,0
111.81974768638611,107.3,g,0
112.83919358253479,108.4,g,0
113.83258652687073,109.4,g,0
114.83151865005493,110.6,g,0
115.8310194015503,111.9,g,0
116.83086633682251,113.1,g,0
117.83697485923767,114.1,g,0
118.82337474822998,115.2,g,0
119.83218312263489,116.4,g,0
120.8314790725708,117.6,g,0
121.83739876747131,118.8,g,0
122.82745218276978,119.9,g,0
123.84067678451538,120.9,g,0
124.8346791267395,122.1,g,0
125.8424940109253,123.3,g,0
126.8204939365387,124.6,g,0
127.83254265785217,125.6,g,0
128.82520961761475,126.7,g,0
129.83089184761047,127.8,g,0
130.82659244537354,129.0,g,0
131.84431099891663,130.3,g,0
132.83972358703613,131.3,g,0
133.83940601348877,132.3,g,0
134.8267743587494,133.5,g,0
135.8384485244751,134.7,g,0
136.8385910987854,135.9,g,0
137.837304353714,137.0,g,0
138.83933019638062,138.0,g,0
139.85196709632874,139.2,g,0
140.83587622642517,140.4,g,0
141.8524100780487,141.5,g,0
142.8373739719391,142.6,g,0
143.83189582824707,143.6,g,0
144.83250427246094,144.8,g,0
145.83617877960205,146.0,g,0
146.8483624458313,147.0,g,0
147.8495967388153,148.2,g,0
148.83667945861816,149.2,g,0
149.84814357757568,150.4,g,0
150.84716153144836,151.7,g,0
151.83173298835754,152.7,g,0
152.8479015827179,153.7,g,0
153.84466576576233,154.8,g,0
154.851331949234,156.0,g,0
155.8317415714264,157.3,g,0
156.84355783462524,158.3,g,0
157.84254217147827,159.2,g,0
158.8427438735962,160.4,g,0
159.84349489212036,161.6,g,0
160.85687446594238,162.6,g,0
161.8442268371582,163.8,g,0
162.85818648338318,164.8,g,0
163.83957505226135,166.0,g,0
164.85533952713013,167.2,g,0
165.83843660354614,168.2,g,0
166.85922122001648,169.2,g,0
167.85325169563293,170.4,g,0
168.85792088508606,171.5,g,0
169.841148853302,172.7,g,0
170.85394620895386,173.8,g,0
171.85365319252014,174.8,g,0
172.86417722702026,175.9,g,0
173.85209131240845,177.1,g,0
174.84957122802734,178.3,g,0
175.85654211044312,179.2,g,0
176.84891152381897,180.2,g,0
177.85864281654358,181.4,g,0
178.84810876846313,182.6,g,0
179.85031652450562,183.6,g,0
180.8476951122284,184.8,g,0
181.85705161094666,185.8,g,0
182.86382484436035,186.9,g,0
183.8631443977356,188.1,g,0
184.85607504844666,189.1,g,0
185.86340045928955,190.1,g,0
186.8451862335205,191.3,g,0
187.86015439033508,192.4,g,0
188.84633779525757,193.6,g,0
189.8591432571411,194.6,g,0
190.85961151123047,195.6,g,0
191.86531949043274,196.7,g,0
192.84687995910645,197.9,g,0
193.85892987251282,198.9,g,0
194.85853147506714,200.0,g,0
195.8567090034485,201.1,g,0
196.85631918907166,202.2,g,0
197.87240028381348,203.4,g,0
198.86068391799927,204.4,g,0
199.860253572464,205.4,g,0
200.8583745956421,206.5,g,0
201.8715524673462,207.7,g,0
202.85400652885437,208.7,g,0
203.87238597869873,209.8,g,0
204.86922597885132,210.8,g,0
205.8531141281128,212.0,g,0
206.85676527023315,213.0,g,0
207.8687243461609,214.1,g,0
208.8687081336975,215.1,g,0
209.8509874343872,216.3,g,0
210.87112998962402,217.5,g,0
211.88204908370972,218.5,g,0
212.86725521087646,219.4,g,0
213.8547761440277,220.6,g,0
214.8653645515442,221.7,g,0
215.8657660484314,222.7,g,0
216.863450050354,223.8,g,0
217.86826252937317,224.9,g,0
218.87843799591064,226.0,g,0
219.8660135269165,227.0,g,0
220.86724185943604,228.2,g,0
221.86600589752197,229.1,g,0
222.87824606895447,230.3,g,0
223.87436962127686,231.4,g,0
224.8814287185669,232.5,g,0
225.8680236339569,233.4,g,0
226.8756604194641,234.6,g,0
227.87700867652893,235.7,g,0
228.87586379051208,236.7,g,0
229.87546110153198,237.6,g,0
230.87366652488708,238.8,g,0
231.87684726715088,240.0,g,0
232.87826132774353,241.0,g,0
233.87455105781555,241.9,g,0
234.87906646728516,243.1,g,0
235.87234568595886,244.2,g,0
236.88874697685242,245.2,g,0
237.87153959274292,246.4,g,0
238.87006855010986,247.3,g,0
239.87280654907227,248.5,g,0
240.8693950176239,249.6,g,0
241.88638973236084,250.6,g,0
242.86821913719177,251.6,g,0
243.8724012374878,252.7,g,0
244.8839876651764,253.9,g,0
245.88680982589722,254.8,g,0
246.86746382713318,255.8,g,0
247.8856906890869,256.9,g,0
248.8675878047943,258.1,g,0
249.88282823562622,259.0,g,0
250.88437604904175,260.0,g,0
251.8818690776825,261.2,g,0
252.88206481933594,262.3,g,0
253.88078093528748,263.3,g,0
254.881511926651,264.2,g,0
255.89583039283752,265.4,g,0
256.8789575099945,266.6,g,0
257.88216280937195,267.5,g,0
258.8781850337982,268.6,g,0
259.8976354598999,269.6,g,0
260.8766815662384,270.8,g,0
261.89302802085876,271.7,g,0
262.892560005188,272.9,g,0
263.8933742046356,273.8,g,0
264.89245080947876,274.9,g,0
265.89099764823914,276.1,g,0
266.8925414085388,277.0,g,0
267.8901243209839,278.0,g,0
268.89168334007263,279.1,g,0
269.88956236839294,280.3,g,0
270.88578486442566,281.2,g,0
271.8902099132538,282.2,g,0
272.89275097846985,283.3,g,0
273.89594197273254,284.5,g,0
274.8868021965027,285.4,g,0
275.88788080215454,286.4,g,0
276.9020128250122,287.5,g,0
277.89026045799255,288.7,g,0
278.8899824619293,289.6,g,0
279.8849811553955,290.7,g,0
280.90423583984375,291.7,g,0
281.88491344451904,292.8,g,0
282.9016909599304,293.8,g,0
283.89885544776917,294.9,g,0
284.90042877197266,295.9,g,0
285.8867349624634,297.0,g,0
286.8990397453308,298.0,g,0
287.8987956047058,299.0,g,0
288.8969421386719,300.1,g,0
289.8895094394684,301.2,g,0
290.89606618881226,302.2,g,0
291.8973960876465,303.2,g,0
292.8997685909271,304.2,g,0
293.8954336643219,305.4,g,0
294.9119439125061,306.4,g,0
295.8944478034973,307.5,g,0
296.91567063331604,308.4,g,0
297.8991973400116,309.5,g,0
298.88959527015686,310.5,g,0
299.9059352874756,311.6,g,0
300.88754510879517,312.6,g,0
301.91106700897217,313.7,g,0
302.90370750427246,314.8,g,0
303.9051945209503,315.8,g,0
304.9116835594177,316.8,g,0
305.9120032787323,317.9,g,0
306.8922519683838,319.0,g,0
307.900785446167,319.9,g,0
308.9004747867584,320.8,g,0
309.9164216518402,322.0,g,0
310.905620098114,323.1,g,0
311.9023931026459,324.1,g,0
312.8985924720764,325.0,g,0
313.9160461425781,326.1,g,0
314.89768958091736,327.3,g,0
315.91404581069946,328.2,g,0
316.9131941795349,329.2,g,0
317.9152178764343,330.3,g,0
318.9018120765686,331.4,g,0
319.91303062438965,332.4,g,0
320.90088176727295,333.3,g,0
321.9140911102295,334.4,g,0
322.9116632938385,335.5,g,0
323.9258954524994,336.5,g,0
324.91091108322144,337.4,g,0
325.913072347641,338.6,g,0
326.91039419174194,339.5,g,0
327.9250285625458,340.7,g,0
328.908100605011,341.6,g,0
329.92580103874207,342.7,g,0
330.9226083755493,343.7,g,0
331.9240891933441,344.6,g,0
332.910160779953,345.7,g,0
333.90743136405945,346.9,g,0
334.92301177978516,347.8,g,0
335.92811393737793,348.7,g,0
336.92285203933716,349.8,g,0
337.91709303855896,351.0,g,0
338.92271733283997,351.9,g,0
339.91953802108765,352.8,g,0
340.9257080554962,353.9,g,0
341.9211184978485,355.1,g,0
342.9259879589081,356.0,g,0
343.92056608200073,356.9,g,0
344.93100094795227,358.0,g,0
345.9242031574249,359.2,g,0
346.93350863456726,360.1,g,0
347.9344515800476,361.1,g,0
348.92400193214417,362.2,g,0
349.92837715148926,363.3,g,0
350.9236183166504,364.2,g,0
351.9153106212616,365.2,g,0
352.93237352371216,366.3,g,0
353.92350792884827,367.4,g,0
354.92871165275574,368.3,g,0
355.921178817749,369.2,g,0
356.9395842552185,370.4,g,0
357.9317846298218,371.5,g,0
358.93709111213684,372.4,g,0
359.9270076751709,373.3,g,0
360.92991161346436,374.5,g,0
361.92236328125,375.6,g,0
362.93256545066833,376.5,g,0
363.9223551750183,377.5,g,0
364.9380478858948,378.6,g,0
365.9279534816742,379.7,g,0
366.93377447128296,380.6,g,0
367.93516540527344,381.6,g,0
368.9352695941925,382.7,g,0
369.94097685813904,383.6,g,0
370.94605350494385,384.7,g,0
371.92808055877686,385.6,g,0
372.93631887435913,386.8,g,0
373.94209456443787,387.7,g,0
374.9319632053375,388.8,g,0
375.93456077575684,389.7,g,0
376.9269528388977,390.8,g,0
377.93216729164124,391.8,g,0
378.9374213218689,392.8,g,0
379.9374840259552,393.8,g,0
380.9428491592407,394.9,g,0
381.94807410240173,395.9,g,0
382.93269300460815,396.8,g,0
383.93534803390503,397.9,g,0
384.94099974632263,399.0,g,0
385.9466609954834,399.9,g,0
386.9341106414795,400.8,g,0
387.9393141269684,402.0,g,0
388.93282651901245,403.1,g,0
389.95415449142456,404.0,g,0
390.9467294216156,404.9,g,0
391.9494240283966,406.0,g,0
392.94214153289795,407.2,g,0
393.9506709575653,408.1,g,0
394.9351077079773,409.0,g,0
395.9559757709503,410.1,g,0
396.9458100795746,411.2,g,0
397.9489538669586,412.1,g,0
398.9515128135681,413.0,g,0
399.9568603038788,414.2,g,0
400.9470555782318,415.3,g,0
401.95002579689026,416.2,g,0
402.9498243331909,417.1,g,0
403.9579372406006,418.2,g,0
404.9477083683014,419.2,g,0
405.9591474533081,420.2,g,0
406.9461781978607,421.2,g,0
407.96674942970276,422.3,g,0
408.95927596092224,423.2,g,0
409.9595854282379,424.2,g,0
410.94635558128357,425.2,g,0
411.9398384094238,426.3,g,0
412.9559097290039,427.3,g,0
413.9458849430084,428.2,g,0
414.9579565525055,429.3,g,0
415.9477665424347,430.4,g,0
416.95088267326355,431.3,g,0
417.95031547546387,432.2,g,0
418.9621376991272,433.3,g,0
419.95163440704346,434.4,g,0
420.95425844192505,435.4,g,0
421.9568455219269,436.3,g,0
422.9671516418457,437.4,g,0
423.95692706108093,438.3,g,0
424.9569876194,439.4,g,0
425.978271484375,440.3,g,0
426.97155022621155,441.4,g,0
427.9575400352478,442.3,g,0
428.96433448791504,443.2,g,0
429.9542303085327,444.4,g,0
430.9601273536682,445.5,g,0
431.96066069602966,446.4,g,0
432.96725940704346,447.3,g,0
433.95529770851135,448.4,g,0
434.9761435985565,449.5,g,0
435.9648859500885,450.4,g,0
436.9778895378113,451.3,g,0
437.9651083946228,452.4,g,0
438.9786784648895,453.5,g,0
439.96730971336365,454.4,g,0
440.98049426078796,455.3,g,0
441.97390818595886,456.4,g,0
442.9802918434143,457.5,g,0
443.9751224517822,458.5,g,0
444.98307275772095,459.4,g,0
445.9692096710205,460.5,g,0
446.9834339618683,461.4,g,0
447.96788358688354,462.4,g,0
448.9867217540741,463.4,g,0
449.97878527641296,464.5,g,0
450.972354888916,465.4,g,0
451.98042726516724,466.3,g,0
452.97348046302795,467.4,g,0
453.98256063461304,468.5,g,0
454.9906063079834,469.5,g,0
455.9837086200714,470.4,g,0
456.9757685661316,471.5,g,0
457.984849691391,472.5,g,0
458.97695803642273,473.5,g,0
459.985759973526,474.4,g,0
460.9786787033081,475.5,g,0
461.98748230934143,476.4,g,0
462.979772567749,477.3,g,0
463.98797392845154,478.4,g,0
464.9817063808441,479.5,g,0
465.9898610115051,480.4,g,0
466.9829206466675,481.3,g,0
467.9909827709198,482.4,g,0
468.98404908180237,483.5,g,0
469.9921109676361,484.5,g,0
470.9851727485657,485.3,g,0
471.9942378997803,486.4,g,0
472.98629927635193,487.5,g,0
473.9953866004944,488.5,g,0
474.98842763900757,489.4,g,0
475.99677658081055,490.4,g,0
476.9893708229065,491.4,g,0
477.99840903282166,492.4,g,0
478.9911079406738,493.4,g,0
479.9991943836212,494.5,g,0
480.9922618865967,495.4,g,0
482.0002226829529,496.3,g,0
482.99329686164856,497.4,g,0
484.00162839889526,498.5,g,0
484.99474596977234,499.4,g,0
486.00375390052795,500.3,g,0
486.99587774276733,501.4,g,0
487.988543510437,502.3,g,0
488.99753975868225,503.2,g,0
489.98973083496094,504.3,g,0
490.9989151954651,505.4,g,0
491.9913136959076,506.3,g,0
493.0004258155823,507.2,g,0
493.99275946617126,508.3,g,0
495.0008635520935,509.4,g,0
496.0099844932556,510.3,g,0
497.00207138061523,511.2,g,0
497.99530482292175,512.3,g,0
499.0040466785431,513.2,g,0
499.99642968177795,514.2,g,0
501.0050871372223,515.2,g,0
501.99768805503845,516.3,g,0
503.00642347335815,517.2,g,0
503.99845266342163,518.1,g,0
505.00717425346375,519.2,g,0
505.9999897480011,520.3,g,0
507.00799536705017,521.2,g,0
508.00102281570435,522.1,g,0
509.00966358184814,523.2,g,0
510.0022633075714,524.2,g,0
511.0104796886444,525.2,g,0
512.0033693313599,526.1,g,0
513.0119512081146,527.2,g,0
514.0052490234375,528.1,g,0
515.0138802528381,529.0,g,0
516.0058829784393,530.1,g,0
517.0148811340332,531.2,g,0
518.0078871250153,532.1,g,0
519.016120672226,533.0,g,0
520.0081207752228,534.1,g,0
521.0170888900757,535.0,g,0
522.0100874900818,535.9,g,0
523.0181047916412,537.0,g,0
524.0111413002014,538.1,g,0
525.0041089057922,539.0,g,0
526.0122082233429,539.9,g,0
527.0052537918091,541.0,g,0
528.0132949352264,542.0,g,0
529.0061130523682,542.9,g,0
530.014876127243,543.8,g,0
531.007161617279,544.9,g,0
532.0163478851318,545.8,g,0
533.0087809562683,546.8,g,0
534.016916513443,547.8,g,0
535.0254867076874,548.9,g,0
536.0182619094849,549.8,g,0
537.0108318328857,550.7,g,0
538.0197539329529,551.8,g,0
539.0124015808105,552.9,g,0
540.0208184719086,553.8,g,0
541.0134212970734,554.7,g,0
542.0226309299469,555.7,g,0
543.0151431560516,556.7,g,0
544.0231897830963,557.5,g,0
545.0162861347198,558.6,g,0
546.0248103141785,559.7,g,0
547.0173466205597,560.6,g,0
548.0261170864105,561.5,g,0
549.0187752246857,562.6,g,0
550.0271039009094,563.5,g,0
551.0204865932465,564.6,g,0
552.0125551223755,565.5,g,0
553.0211119651794,566.6,g,0
554.0292634963989,567.5,g,0
555.0219147205353,568.3,g,0
556.0305073261261,569.4,g,0
557.0240714550018,570.5,g,0
558.032395362854,571.4,g,0
559.0246086120605,572.3,g,0
560.0177955627441,573.4,g,0
561.0256373882294,574.3,g,0
562.0183992385864,575.2,g,0
563.0273313522339,576.3,g,0
564.0199482440948,577.4,g,0
565.0285489559174,578.3,g,0
566.0208446979523,579.1,g,0
567.0299882888794,580.2,g,0
568.0380218029022,581.3,g,0
569.0306639671326,582.2,g,0
570.023948431015,583.1,g,0
571.0320842266083,584.2,g,0
572.0252978801727,585.1,g,0
573.0329403877258,586.0,g,0
574.0262017250061,587.1,g,0
575.034773349762,588.0,g,0
576.0273818969727,589.0,g,0
577.035374879837,589.9,g,0
578.0283420085907,591.0,g,0
579.0364193916321,591.9,g,0
580.0298020839691,592.8,g,0
581.0386440753937,593.9,g,0
582.0311756134033,595.0,g,0
583.0395181179047,595.8,g,0
584.0320553779602,596.7,g,0
585.0408699512482,597.8,g,0
586.0334811210632,598.9,g,0
587.0418493747711,599.8,g,0
588.0344202518463,600.7,g,0
589.0430560112,601.8,g,0
590.0356817245483,602.7,g,0
591.0287203788757,603.5,g,0
592.0380656719208,604.6,g,0
593.0455763339996,605.7,g,0
594.0385785102844,606.6,g,0
595.0315778255463,607.5,g,0
596.0395922660828,608.6,g,0
597.0325975418091,609.5,g,0
598.0405945777893,610.4,g,0
599.0495975017548,611.4,g,0
600.0424160957336,612.5,g,0
601.0349977016449,613.4,g,0
602.0435199737549,614.3,g,0
603.0354518890381,615.4,g,0
604.0444512367249,616.2,g,0
605.0374717712402,617.1,g,0
606.0454578399658,618.2,g,0
607.0384533405304,619.3,g,0
608.0464925765991,620.2,g,0
609.0405397415161,621.1,g,0
610.04754114151,622.1,g,0
611.0409824848175,623.0,g,0
612.0495567321777,624.1,g,0
613.0415961742401,625.0,g,0
614.0503325462341,626.1,g,0
615.0429952144623,627.0,g,0
616.051506280899,627.9,g,0
617.0444850921631,629.0,g,0
618.0530707836151,629.8,g,0
619.0456953048706,630.8,g,0
620.0546455383301,631.8,g,0
621.0472049713135,632.9,g,0
622.0399839878082,633.8,g,0
623.0480561256409,634.6,g,0
624.0568072795868,635.7,g,0
625.0493240356445,636.7,g,0
626.0425088405609,637.7,g,0
627.050733089447,638.6,g,0
628.0436985492706,639.6,g,0
629.0519232749939,640.6,g,0
630.0450713634491,641.4,g,0
631.0532932281494,642.5,g,0
632.0462536811829,643.6,g,0
633.0544312000275,644.4,g,0
634.0476269721985,645.3,g,0
635.0558125972748,646.4,g,0
636.048418045044,647.3,g,0
637.0565416812897,648.2,g,0
638.0500891208649,649.3,g,0
639.0581228733063,650.3,g,0
640.0506365299225,651.2,g,0
641.0596716403961,652.1,g,0
642.0517957210541,653.2,g,0
643.0609450340271,654.1,g,0
644.0535771846771,655.0,g,0
645.0616507530212,656.0,g,0
646.0547685623169,657.1,g,0
