time,mass,unit,stable?
0.9794995784759521,4.8,ESg,1
1.970557689666748,4.8,g,1
2.9764225482940674,4.9,g,1
3.9630963802337646,4.9,g,1
4.981215000152588,4.9,g,1
5.975601434707642,4.9,g,1
6.973925590515137,5.0,g,1
7.977558135986328,5.0,g,1
8.97226333618164,5.0,g,1
9.965510368347168,5.1,g,1
10.981975078582764,5.1,g,1
11.974375486373901,5.2,g,1
12.982199668884277,5.2,g,1
13.969558000564575,5.2,g,1
14.977800607681274,5.2,g,1
15.973634481430054,5.2,g,1
16.992614269256592,5.3,g,1
17.971190929412842,5.3,g,1
18.98608708381653,5.4,g,1
19.978169918060303,5.4,g,1
20.98874306678772,5.4,g,1
21.977327346801758,5.5,g,1
22.96743106842041,5.5,g,1
23.98774790763855,5.5,g,1
24.97990345954895,5.5,g,1
25.977783918380737,5.5,g,1
26.976154327392578,5.6,g,1
27.98255705833435,5.6,g,1
28.973386526107788,5.7,g,1
29.980035543441772,5.7,g,1
30.98251438140869,5.7,g,1
31.98861861228943,5.8,g,1
32.97135066986084,5.8,g,1
33.991440296173096,5.8,g,1
34.987547397613525,5.8,g,1
35.98768877983093,5.8,g,1
36.985387325286865,5.9,g,1
37.985835313797,5.9,g,1
38.97542476654053,6.0,g,1
39.99590063095093,6.0,g,1
40.985909938812256,6.0,g,1
41.99989151954651,6.1,g,1
42.992626428604126,6.1,g,1
43.994757890701294,6.1,g,1
44.99304676055908,6.1,g,1
46.00234937667847,6.2,g,1
46.995009660720825,6.2,g,1
48.00009322166443,6.3,g,1
48.99384117126465,6.3,g,1
50.00124454498291,6.3,g,1
50.99755501747131,6.3,g,1
51.990084648132324,6.4,g,1
52.998546838760376,6.4,g,1
53.99005126953125,6.4,g,1
54.996726989746094,6.5,g,1
56.0046911239624,6.5,g,1
56.998793840408325,6.6,g,1
57.990495443344116,6.6,g,1
59.00226926803589,6.6,g,1
59.99231934547424,6.6,g,1
61.00311756134033,6.6,g,1
61.99354791641235,6.7,g,1
63.00461506843567,6.7,g,1
63.9938690662384,6.7,g,1
65.00319528579712,6.8,g,1
65.99879765510559,6.8,g,1
67.00479054450989,6.9,g,1
67.99709105491638,6.9,g,1
69.00545692443848,6.9,g,1
70.00135540962219,6.9,g,1
71.00631809234619,7.0,g,1
71.99943041801453,7.0,g,1
73.0099105834961,7.0,g,1
74.00330591201782,7.1,g,1
74.99593162536621,7.1,g,1
76.00117778778076,7.1,g,1
76.99403762817383,7.2,g,1
78.00380301475525,7.2,g,1
78.99699068069458,7.2,g,1
80.00521922111511,7.2,g,1
81.01566743850708,7.3,g,1
82.00579380989075,7.3,g,1
83.00059366226196,7.3,g,1
84.0056962966919,7.4,g,1
85.00202870368958,7.4,g,1
86.01079845428467,7.5,g,1
87.0019793510437,7.5,g,1
88.01083636283875,7.5,g,1
89.00173497200012,7.5,g,1
90.01258182525635,7.5,g,1
91.00493597984314,7.6,g,1
92.01419711112976,7.6,g,1
93.00679874420166,7.6,g,1
94.01461434364319,7.7,g,1
95.00646376609802,7.7,g,1
96.01656484603882,7.7,g,1
97.00919961929321,7.8,g,1
98.01782202720642,7.8,g,1
99.00901532173157,7.8,g,1
100.01844096183777,7.8,g,1
101.01161122322083,7.9,g,1
102.02017426490784,7.9,g,1
103.01290798187256,7.9,g,1
104.00288534164429,8.0,g,1
105.0134539604187,8.0,g,1
106.00396418571472,8.0,g,1
107.01284146308899,8.1,g,1
108.00790214538574,8.1,g,1
109.01343965530396,8.1,g,1
110.00915908813477,8.2,g,1
111.01677227020264,8.2,g,1
112.0101752281189,8.2,g,1
113.01523470878601,8.2,g,1
114.01010036468506,8.3,g,1
115.0191535949707,8.3,g,1
116.0129234790802,8.4,g,1
117.01759123802185,8.4,g,1
118.01289534568787,8.4,g,1
119.020254611969,8.4,g,1
120.01503324508667,8.5,g,1
121.02389669418335,8.5,g,1
122.01549506187439,8.5,g,1
123.02221083641052,8.6,g,1
124.01537322998047,8.6,g,1
125.0094051361084,8.6,g,1
126.01874303817749,8.7,g,1
127.01134872436523,8.7,g,1
128.01631569862366,8.7,g,1
129.01223802566528,8.7,g,1
130.02132368087769,8.8,g,1
131.0298674106598,8.8,g,1
132.02229571342468,8.8,g,1
133.0150430202484,8.9,g,1
134.02374577522278,8.9,g,1
135.0154619216919,9.0,g,1
136.02488327026367,9.0,g,1
137.01510524749756,9.0,g,1
138.0261471271515,9.0,g,1
139.01851868629456,9.0,g,1
140.0273232460022,9.1,g,1
141.01762676239014,9.1,g,1
142.02780890464783,9.2,g,1
143.0211741924286,9.2,g,1
144.02760338783264,9.2,g,1
145.0185194015503,9.3,g,1
146.0273962020874,9.3,g,1
147.02367877960205,9.3,g,1
148.03119492530823,9.3,g,1
149.0247838497162,9.3,g,1
150.0333137512207,9.4,g,1
151.02551341056824,9.4,g,1
152.03318619728088,9.5,g,1
153.02720999717712,9.5,g,1
154.03573083877563,9.5,g,1
155.02817130088806,9.6,g,1
156.03687500953674,9.6,g,1
157.02958250045776,9.6,g,1
158.03616642951965,9.6,g,1
159.03047585487366,9.7,g,1
160.0232434272766,9.7,g,1
161.03164529800415,9.8,g,1
162.02488493919373,9.8,g,1
163.0298171043396,9.8,g,1
164.0252435207367,9.8,g,1
165.0340437889099,9.9,g,1
166.04252791404724,9.9,g,1
167.03278803825378,9.9,g,1
168.02873349189758,10.0,g,1
169.03363633155823,10.0,g,1
170.028418302536,10.0,g,1
171.03812980651855,10.1,g,1
172.0288269519806,10.1,g,1
173.0376636981964,10.1,g,1
174.03142070770264,10.1,g,1
175.0403790473938,10.2,g,1
176.03263354301453,10.2,g,1
177.0381224155426,10.2,g,1
178.03402471542358,10.3,g,1
179.03965425491333,10.3,g,1
180.03545212745667,10.3,g,1
181.0421085357666,10.4,g,1
182.03350806236267,10.4,g,1
183.04510354995728,10.4,g,1
184.0361692905426,10.4,g,1
185.03051233291626,10.5,g,1
186.03776097297668,10.5,g,1
187.04449772834778,10.5,g,1
188.0395908355713,10.6,g,1
