time,mass,unit,stable?
1.0130434036254883,0.0,g,1
2.0052640438079834,0.0,g,1
3.0142478942871094,0.0,g,1
4.006226539611816,0.0,g,1
5.014826536178589,0.0,g,1
6.007826805114746,0.0,g,1
7.0158655643463135,0.0,g,1
8.00841236114502,0.0,g,1
9.017004251480103,0.0,g,1
10.010615587234497,0.0,g,1
11.018588542938232,0.0,g,1
12.010594129562378,0.0,g,1
13.019588232040405,0.0,g,1
14.012373447418213,0.0,g,1
15.020559787750244,0.0,g,1
16.013519525527954,0.0,g,1
17.00620126724243,0.0,g,1
18.01493191719055,0.0,g,1
19.007012367248535,0.0,g,1
20.01574206352234,0.4,g,1
21.00850009918213,0.7,g,0
22.01651620864868,1.0,g,1
23.009512424468994,1.4,g,1
24.01852059364319,1.7,g,0
25.01051425933838,1.9,g,1
26.019513845443726,2.3,g,0
27.011552810668945,2.5,g,1
28.020511865615845,2.8,g,1
29.012755393981934,3.2,g,0
30.021132707595825,3.4,g,1
31.014034748077393,3.8,g,1
32.02275991439819,4.1,g,0
33.01574444770813,4.3,g,1
34.02372860908508,4.7,g,0
35.01676106452942,5.0,g,0
36.02478098869324,5.3,g,1
37.01774740219116,5.6,g,0
38.025779247283936,5.9,g,1
39.01882863044739,6.2,g,1
40.02779269218445,6.5,g,0
41.02051019668579,6.7,g,1
42.0285108089447,7.1,g,1
43.02151012420654,7.4,g,0
44.02950882911682,7.6,g,1
45.022550106048584,8.0,g,1
46.030598163604736,8.3,g,0
47.0245943069458,8.6,g,1
48.032583236694336,9.0,g,1
49.02494955062866,9.2,g,1
50.03278923034668,9.5,g,1
51.02578902244568,9.9,g,0
52.034788846969604,10.1,g,1
53.02675461769104,10.4,g,0
54.03575253486633,10.8,g,0
55.02878928184509,11.0,g,1
56.03675556182861,11.3,g,0
57.0297486782074,11.5,g,1
58.03775215148926,11.9,g,1
59.03075122833252,12.2,g,0
60.038753509521484,12.5,g,1
61.03181004524231,12.8,g,1
62.02484965324402,13.1,g,0
63.03281235694885,13.3,g,1
64.02581143379211,13.7,g,1
65.03382420539856,14.0,g,0
66.02647066116333,14.2,g,1
67.03547167778015,14.6,g,1
68.02751326560974,14.8,g,1
69.03647327423096,15.2,g,1
70.0294725894928,15.5,g,0
71.0374755859375,15.7,g,1
72.03006100654602,16.1,g,1
73.038818359375,16.4,g,0
74.0309624671936,16.6,g,1
75.0396990776062,17.0,g,0
76.03230810165405,17.2,g,1
77.04132771492004,17.5,g,1
78.03330612182617,17.8,g,0
79.04235982894897,18.1,g,1
80.03508424758911,18.4,g,1
81.04305052757263,18.7,g,0
82.03634595870972,19.0,g,1
83.04499101638794,19.3,g,1
84.03777480125427,19.6,g,1
85.0458390712738,19.9,g,1
86.03884196281433,20.2,g,1
87.04738330841064,20.4,g,1
88.03998565673828,20.8,g,1
89.04814291000366,21.1,g,0
90.04041075706482,21.3,g,1
91.04939341545105,21.7,g,0
92.04163098335266,22.0,g,0
93.05039954185486,22.2,g,1
94.04338717460632,22.5,g,1
95.0513870716095,22.8,g,1
96.04398703575134,23.1,g,1
97.05257558822632,23.4,g,1
98.04517960548401,23.7,g,1
99.0541319847107,24.0,g,1
100.04692602157593,24.3,g,0
101.05459833145142,24.6,g,1
102.04765796661377,24.9,g,1
103.0403401851654,25.1,g,1
104.04866456985474,25.5,g,1
105.04130697250366,25.8,g,1
106.0503101348877,26.0,g,1
107.04320526123047,26.4,g,1
108.05108380317688,26.7,g,0
109.04382157325745,26.9,g,1
110.05281496047974,27.3,g,0
111.04491448402405,27.6,g,0
112.05368208885193,27.8,g,1
113.04669332504272,28.1,g,0
114.05574321746826,28.3,g,1
115.04751658439636,28.7,g,1
116.05612444877625,29.0,g,0
117.0491931438446,29.2,g,1
118.05771255493164,29.6,g,1
119.04962372779846,29.8,g,1
120.0582263469696,30.1,g,1
121.05223369598389,30.5,g,1
122.05993175506592,30.7,g,1
123.05219173431396,31.0,g,1
124.06095886230469,31.4,g,0
125.05296039581299,31.6,g,1
126.06212258338928,31.9,g,1
127.05417919158936,32.3,g,0
128.06330800056458,32.5,g,1
129.0559639930725,32.8,g,0
130.06407165527344,33.0,g,1
131.0566565990448,33.4,g,1
132.0657057762146,33.7,g,1
133.0582275390625,33.9,g,1
134.06686282157898,34.3,g,1
135.05904984474182,34.5,g,0
136.06764388084412,34.8,g,1
137.0607511997223,35.2,g,0
138.0685646533966,35.4,g,1
139.06218099594116,35.7,g,1
140.05414199829102,36.1,g,0
141.06296467781067,36.3,g,1
142.05522441864014,36.6,g,0
143.06375193595886,36.8,g,1
144.05683255195618,37.2,g,1
145.06513094902039,37.5,g,0
146.0577826499939,37.7,g,1
147.06641125679016,38.1,g,1
148.0588767528534,38.3,g,0
149.06755447387695,38.6,g,1
150.06054973602295,39.0,g,1
151.06894397735596,39.2,g,0
152.06150603294373,39.5,g,1
153.06977558135986,39.9,g,1
154.06281161308289,40.1,g,1
155.07140851020813,40.4,g,1
156.06357550621033,40.7,g,1
157.0726978778839,41.0,g,1
158.0651776790619,41.3,g,1
159.07351517677307,41.6,g,0
160.06617212295532,41.9,g,1
161.0747001171112,42.2,g,0
162.0673542022705,42.4,g,1
163.07540106773376,42.8,g,1
164.0681767463684,43.0,g,1
165.07736444473267,43.3,g,1
166.0701401233673,43.7,g,1
167.07827234268188,43.9,g,1
168.07124376296997,44.2,g,1
169.0789918899536,44.5,g,1
170.07205939292908,44.8,g,1
171.0802845954895,45.1,g,1
172.07341980934143,45.4,g,0
173.08211398124695,45.7,g,1
174.0750868320465,46.0,g,0
175.08290648460388,46.3,g,0
176.07542657852173,46.5,g,1
177.0841736793518,46.9,g,0
178.07678270339966,47.1,g,1
179.08534264564514,47.4,g,1
180.07838082313538,47.7,g,1
181.07085156440735,48.0,g,1
182.07945442199707,48.3,g,1
183.07166528701782,48.6,g,0
184.08041143417358,48.9,g,1
185.073410987854,49.2,g,1
186.08196091651917,49.4,g,1
187.07474493980408,49.7,g,1
188.08393049240112,50.1,g,0
189.0759403705597,50.3,g,1
190.08425855636597,50.6,g,0
191.07682967185974,50.8,g,1
192.08496594429016,51.2,g,1
193.07756161689758,51.6,g,0
194.08676266670227,51.7,g,1
195.07936882972717,52.1,g,1
196.08798265457153,52.4,g,0
197.0802366733551,52.6,g,1
198.08879709243774,53.0,g,1
199.0819535255432,53.2,g,1
200.08999347686768,53.5,g,1
201.08237171173096,53.9,g,0
202.0914409160614,54.1,g,1
203.08363223075867,54.4,g,1
204.09200716018677,54.8,g,0
205.08501076698303,55.0,g,1
206.09290218353271,55.3,g,0
207.0862114429474,55.5,g,1
208.09475564956665,55.9,g,1
209.08694458007812,56.1,g,1
210.09543371200562,56.4,g,1
211.0883183479309,56.8,g,1
212.09674191474915,57.0,g,1
213.09074807167053,57.3,g,1
214.09788537025452,57.7,g,1
215.090478181839,57.9,g,1
216.09866404533386,58.2,g,1
217.0915927886963,58.5,g,0
218.09947657585144,58.8,g,1
219.0923056602478,59.1,g,0
220.08441042900085,59.3,g,1
221.093243598938,59.7,g,1
222.10115694999695,59.9,g,0
223.09418988227844,60.2,g,1
224.08614659309387,60.5,g,1
225.09513592720032,60.8,g,1
226.08707642555237,61.1,g,1
227.09485268592834,61.5,g,1
228.08730030059814,61.6,g,1
229.0962312221527,62.0,g,1
230.08875608444214,62.3,g,1
231.0967936515808,62.5,g,1
232.08889174461365,62.8,g,1
233.09774661064148,63.2,g,0
234.09008193016052,63.4,g,1
235.0981957912445,63.7,g,0
236.0906081199646,64.0,g,1
237.0990252494812,64.3,g,1
238.0909686088562,64.6,g,1
239.0999002456665,64.8,g,1
240.0918424129486,65.2,g,1
241.10073614120483,65.5,g,0
242.09242033958435,65.7,g,1
243.10120606422424,66.1,g,0
244.09299874305725,66.3,g,1
245.10182285308838,66.6,g,1
246.09457921981812,67.0,g,0
